,density,alcohol,quality
0,1.001,8.8,6
1,0.994,9.5,6
2,0.9951,10.1,6
3,0.9956,9.9,6
4,0.9956,9.9,6
5,0.9951,10.1,6
6,0.9949,9.6,6
7,1.001,8.8,6
8,0.994,9.5,6
9,0.9938,11.0,6
10,0.9908,12.0,5
11,0.9947,9.7,5
12,0.992,10.8,5
13,0.9912,12.4,7
14,1.0002,9.7,5
15,0.9914,11.4,7
16,0.9928,9.6,6
17,0.9892,12.8,8
18,0.9917,11.3,6
19,0.9955,9.5,5
20,0.9892,12.8,8
21,0.9912,11.0,7
22,0.993,10.5,8
23,0.9937,9.3,5
24,0.9951,10.0,6
25,0.9955,10.4,6
26,0.993,10.0,6
27,0.9961,10.5,6
28,0.9914,11.6,6
29,0.9906,12.3,7
30,0.9974,10.0,6
31,0.9934,10.2,6
32,0.992,10.8,6
33,0.9939,9.0,6
34,0.9962,10.2,5
35,0.9905,12.8,5
36,0.9934,10.0,5
37,0.9906,11.2,6
38,0.9999,8.6,5
39,0.9999,8.6,5
40,0.9937,9.4,6
41,0.9937,9.4,6
42,0.9954,9.8,6
43,0.9934,9.5,6
44,0.9934,9.5,6
45,0.9931,10.0,7
46,0.994,9.8,4
47,0.9939,9.8,5
48,0.9954,9.8,6
49,0.995,9.8,5
50,0.9917,11.7,6
51,0.9914,11.0,7
52,0.991,10.9,7
53,0.9911,10.9,6
54,0.993,9.1,6
55,0.9908,11.0,6
56,0.9962,9.6,6
57,0.9972,8.9,6
58,0.9931,10.2,6
59,0.9926,9.9,6
61,0.9972,8.9,6
63,0.9931,10.2,6
64,0.9927,10.3,6
65,0.9934,9.1,5
66,0.9903,12.6,7
67,0.992,9.8,5
68,0.9926,10.7,8
69,0.9962,9.5,5
70,0.9956,9.0,6
71,0.9958,9.5,5
72,0.9964,10.0,5
73,0.9941,9.1,6
74,0.9926,10.7,8
75,0.9962,9.5,5
76,0.9898,12.7,7
77,0.9912,12.0,7
78,0.9961,9.3,5
79,0.9949,9.0,5
80,0.9929,10.6,6
81,0.9985,9.2,6
82,0.9946,10.0,5
83,0.9966,9.5,6
84,0.9974,8.7,5
85,0.9975,8.7,6
86,0.9974,8.7,6
87,0.9972,9.7,6
88,0.9974,8.7,5
89,0.9975,8.7,6
90,0.9974,8.7,6
91,0.9957,9.0,5
92,0.99,12.6,7
93,0.9899,12.6,7
94,0.9916,11.5,7
